,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory
0,Понедельник,01,января,07:31,15:45,+4°,+3°,11.3°, 1971,-27.1°, 1970 ,"  В Харькове на протяжении всего дня стояла облачная погода. Ночной мелкий дождь к утру закончился. Первая половина дня прошла без осадков, а вечером мелкий дождь начался снова.  "," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным."
1,Вторник,02,января,07:31,15:46,+4°,+2°,9.2°, 1971,-24.4°, 1957 ,"  В Харькове на протяжении всего дня стояла облачная погода. Первая половина дня прошла без осадков. После обеда начался сильный дождь, но он закончился еще до наступления вечера.  "," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был."
2,Среда,03,января,07:30,15:48,+4°,0°,8.2°, 1965,-26.4°, 1947 ,  Облачная погода продержалась в Харькове до самого вечера. Без осадков.  ," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным."
3,Четверг,04,января,07:30,15:49,0°,-2°,6.0°, 1965,-29.0°, 1947 ,"  Облачная погода продержалась в Харькове до самого вечера. Во второй половине дня пошел дождь со снегом, который продолжался до самого вечера.  "," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада."
4,Пятница,05,января,07:30,15:50,+1°,0°,5.3°, 2001,-22.4°, 1957 ,  Весь день в Харькове было облачно. Утром пошел мелкий дождь и закончился в середине дня. Больше осадков не наблюдалось.  ," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января)."
5,Суббота,06,января,07:30,15:51,+5°,+1°,6.8°, 1981,-26.1°, 1987 ,"  Облачная погода продержалась в Харькове до самого вечера. Весь день прошел без осадков, только вечером начался сильный дождь.  "," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь."
6,Воскресенье,07,января,07:29,15:52,+6°,+5°,6.8°, 2001,-28.6°, 1979 ,"  В Харькове облачная погода продержалась весь день. На протяжении всего дня шел мелкий дождь, который вечером стал сильнее.  "," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха."
7,Понедельник,08,января,07:29,15:54,+5°,-4°,6.0°, 2001,-26.4°, 1979 ,"  В Харькове с самого утра на небе не осталось ни одного облака, и до конца дня погода оставалась ясной. Ночью прошел дождь, но уже к утру он закончился. Вся остальная часть дня прошла без осадков.  "," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели."
8,Вторник,09,января,07:28,15:55,-2°,-4°,9.2°, 2001,-30.0°, 1987 ,  На протяжении всего дня погода в Харькове была пасмурной. Без осадков.  ," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть."
9,Среда,10,января,07:28,15:56,0°,-2°,8.2°, 2001,-35.6°, 1940 ,  В Харькове солнце в этот день редко показывалось из-за облаков. Без осадков.  ," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым."
10,Четверг,11,января,07:27,15:57,-1°,-4°,7.8°, 2005,-31.7°, 1950 ,  В Харькове на протяжении всего дня стояла облачная погода. Без осадков.  ," Народный прогноз погоды: 1 ноября отмечается день памяти святого Садока, епископа Персидского. Издавна первый день ноября считался проводами осени, встречей зимы и отмечался повсюду. Если в этот день будет холодно и пойдет снег, то весна будет поздняя и холодная, а если сегодня случится оттепель — в следующем году весна будет теплой и ранней."
11,Пятница,12,января,07:27,15:59,0°,-4°,5.7°," 2005, 2007",-25.5°, 1950 ,"  В Харькове солнце в этот день редко показывалось из-за облаков. Утром начался снег, который к середине дня прекратился. Вечером он пошел снова.  "," Народный прогноз погоды: 12 января почитается память святой Анисии. В народе этот день назывался «Анисьи зимние» или «Анисьи Желудочницы». В старину в этот день варили свиные желудки и резали гусей. По внутренностям животных гадали о зиме. Если селезенка была ровной и гладкой, то ожидали зимы суровой. Толстая печень в середине означала, что стужи начнутся с половины зимы, а широкая сторона печени к брюху обещала морозы и перезимья. В народе говорили: «Ко дню Анисьи холода над землей повисли»."
12,Суббота,13,января,07:26,16:00,-5°,-9°,6.9°, 1955,-26.6°, 1972 ,"  С утра и до самого вечера небо в Харькове было скрыто за облаками. Утром шел снег, который во второй половине дня сменился мокрым снегом. Вечером был снег.  "," Народный прогноз погоды: 13 января отмечается день памяти преподобной Мелании Римляныни. В народе называют этот день «Щедрый вечер». Погода каждого последующего дня соответствовала погоде каждого из двенадцати месяцев. Если в ночь ветер дул южный, то год ожидали жаркий и урожайный. Западный ветер предвещал хорошие надои и обилие рыбы, а восточный — обильный урожай фруктов. Если замечали на окнах лёд, то рассчитывали на обилие мёда. С этого времени день прибывает на час."
13,Воскресенье,14,января,07:25,16:02,-6°,-13°,7.0°, 1955,-27.4°, 1954 ,  В этот день в Харькове небо оставалось ясным до самого позднего вечера. Без осадков.  ," Народный прогноз погоды: 14 января почитается память святителя Василия Великого, архиепископа Кесарии Каппадокийской. Если на Василия с утра туман, то будет хороший урожай летом и осенью. Если будет много звезд на небе — будет много ягод летом. В прежние времена говорили: «Коли Васильев день в году веселый, то и год таков», «Старый год — к весне поворот». Если на Василия тепло и снег — лето будет теплым и дождливым."
14,Понедельник,15,января,07:25,16:03,-8°,-13°,4.6°," 1981, 2007",-25.6°, 1954 ,"  Облака в Харькове уже с утра заняли свое место под солнцем, и пасмурная погода держалась до самого вечера. Днем шел мелкий снег, вечером - дождь со снегом.  "," Народный прогноз погоды: 15 января почитается память святителя Сильвестра Римского, преподобных Сильвестра Печерского и Серафима Саровского. В прежние времена в этот день был Куриный праздник. 15 января чистили курятники и окуривали их смолою с девясилом. Синие вечерние облака в этот день предвещали перемену погоды. Наблюдали также за месяцем: если его рога остры и ярки, следует ожидать ветра. В народе говорили: «Январь гонит вьюгу за семь верст» — этот месяц хоть и холодный, но относительно спокойный."
15,Вторник,16,января,07:24,16:05,-5°,-8°,4.4°, 1981,-25.7°, 1972 ,"  В Харькове на протяжении всего дня стояла облачная погода. Ночью был мелкий снег, которому утром на смену пришел дождь со снегом. Во второй половине дня осадков не наблюдалось.  "," Народный прогноз погоды: В этот день почитается память святого пророка Малахии. По народному поверью, только в этот день можно образумить одержимого меланхолией человека. И если сейчас меланхоличность считается чертой характера, то в прежние времена это считалось душевной болезнью. Если в этот день на небе появлялось белое большое облако, это предвещало вьюгу и метель. Погода на Малахию указывает, какой будет погода в марте."
16,Среда,17,января,07:23,16:06,-3°,-5°,4.0°," 1981, 2007",-24.3°, 1976 ,"  В Харькове облачная погода продержалась весь день. С самого утра шел снег, под вечер его сменил дождь со снегом.  "," Народный прогноз погоды: 17 января почитается память преподобного Феоктиста, Зосимы Пустынника, который жил в IV веке. В народе Зосима считается покровителем пчел. О пчелах толкует и примета этого дня: если в этот день «снег на деревьях сучья гнет — летом пчелы роиться будут». А если на небе нет облаков при сильном морозе, то морозная погода будет стоять и дальше и не скоро отступит."
17,Четверг,18,января,07:22,16:08,+1°,-4°,6.5°, 1955,-26.0°, 1950 ,"  Весь день в Харькове было облачно. Ночью прошел дождь со снегом, но уже к утру он закончился. Вся остальная часть дня прошла без осадков.  "," Народный прогноз погоды: 18 января отмечается Крещенский сочельник, канун Богоявления. В этот день соблюдается строгий пост, поэтому канун Богоявления называют еще Голодной кутёй. Если в этот день метель, снег и позёмка — быть хорошему урожаю. Если звездная ночь на Крещение — будет урожай ягод, гороха и хлеба. Сильные южные ветры 18 января предвещают грозное лето, а метель на Крещение приносит метель и на Масленицу. Полный месяц в этот день обещает большой разлив рек весной."
18,Пятница,19,января,07:21,16:09,-5°,-9°,8.9°, 1955,-24.9°, 1950 ,"  На протяжении всего дня небо в Харькове было покрыто облаками. Днем начался снег, а вечером ему на смену пришел сильный дождь со снегом.  "," Народный прогноз погоды: 19 января отмечается праздник Крещения Господня или Богоявления. По погоде этого дня во многом судили о погоде на лето. Если в этот день холодная, ясная погода — лето засушливым будет. Пасмурная и снежная погода указывала на обильный урожай. В старину говорили: «День тёплый — хлеб тёмный (густой)», значит следовало ожидать хорошего урожая хлебов. Также на хороший урожай указывали синие облака и снег хлопьями."
19,Суббота,20,января,07:20,16:11,0°,-4°,3.0°," 1990, 2007",-25.5°, 1950 ,"  В Харькове на протяжении всего дня стояла облачная погода. Днем шел мелкий снег, который к вечеру усилился.  "," Народный прогноз погоды: 20 января отмечается Собор Предтечи и Крестителя Господня Иоанна. Этот день является концом святок: «Иван Креститель праздники увел». Если в этот день стояла ясная и холодная погода, то лето ожидалось засушливое, а пасмурная и снежная погода намекала на обильный урожай. К 20-му января заканчивались Крещенские морозы, и хотя впереди еще была почти половина зимы, люди уже жили в ожидании тепла: «Трещи, мороз не трещи — минули Водохрещи: дуй, вьюга, не дуй — к Великодню пошло»."
20,Воскресенье,21,января,07:19,16:12,-1°,-9°,2.4°," 1971, 2007",-25.6°, 1950 ,"  В Харькове днем ненадолго небо стало ясным, но уже ближе к вечеру его вновь оккупировали облака. Снег начался еще до рассвета, но к середине дня прекратился.  "," Народный прогноз погоды: 21 января почитается память Емилиана, исповедника. Раньше метели и бураны в этот день были обычным явлением, о чём говорит и пословица: «Емельян, накрути буран». Следили в этот день в основном за ветром: если на Емельяна подует с юга — лето будет грозным, а если день выдастся ясным, то следует ожидать засушливого лета."
21,Понедельник,22,января,07:18,16:14,-6°,-12°,5.1°," 1959, 2007",-24.9°," 1963, 2006 ","  В Харькове на протяжении всего дня стояла облачная погода. Утром был снег. После небольшого перерыва он пошел снова, но уже слабее.  "," Народный прогноз погоды: В этот день почитается память святого Полиевкта. В народе про этот период января говорили так: «Растет день в январе — растет и холод», что указывало на приближение месяца февраля, который считался самым холодным месяцем зимы. Наблюдали наши предки в этот день за домашним скотом: если домашний скот, выпущенный во двор, будет стремиться вернуться в хлев — быть вскоре снегу и холоду."
22,Вторник,23,января,07:17,16:16,-5°,-10°,5.0°, 1971,-28.6°, 1963 ,"  Облачная погода продержалась в Харькове до самого вечера. Вечером снег, который шел почти весь день, постепенно ослабевая, прекратился.  "," Народный прогноз погоды: 23 января почитается память святителя Григория, епископа Нисского. В народе этого святого называли Летоуказателем, потому как природные явления этого дня указывали на погоду будущим летом. Если в этот день будет иней на деревьях и стогах, то лето будет мокрое и холодное. Если ветер дует с юга — лето будет грозное. Если наши предки в этот день наблюдали иней, то верили, что 15—16 июля будет дождь."
23,Среда,24,января,07:16,16:17,-8°,-14°,7.9°, 1971,-28.8°, 1963 ,"  В Харькове на протяжении всего дня стояла облачная погода. С утра шел снег, который закончился только ближе к вечеру.  "," Народный прогноз погоды: 24 января отмечается день памяти преподобного Феодосия Великого. В народе этот день назывался «Федосеево тепло». Как правило, в этот день на самом деле была теплая погода, но люди опасались такого тепла и говорили: «Бойся январской весны», хотя теплая погода в этот день предвещала раннюю и тёплую весну. Если на Феодосия была оттепель, то готовились к затяжной весне."
24,Четверг,25,января,07:15,16:19,-9°,-14°,3.5°," 2002, 2007",-25.6°," 1954, 2006 ","  В Харькове день был облачным, как и утро, и только вечер порадовал нас ясным небом. Вечером мелкий снег, который шел почти весь день, постепенно усиливаясь, прекратился.  "," Народный прогноз погоды: 25 января почитается память святой Татианы. В народе этот день называли «Татьяна Крещенская», «Бабий кут». Если в этот день шел снег, то лето ожидали дождливое, если было морозно, ясно — лето обещало быть теплым, а год — плодородным: «Если снегопад — летом дождик част». А вот теплая метель на Татьяну и «гнилой ветер» (южный) были нежеланными явлениями в этот день, поскольку указывали на неурожай и засуху."
25,Пятница,26,января,07:13,16:20,-7°,-17°,3.3°, 1991,-27.7°, 1947 ,"  В этот день в Харькове с утра и до самого вечера сохранялась пасмурная погода. Утром пошел снег, но еще в первой половине дня он закончился.  "," Народный прогноз погоды: В этот день почитается память преподобного Иринарха, затворника. Судили о погоде этого дня по месяцу: если около него был туманный круг, ожидали метели. Наши предки прислушивались к лесу и наблюдали за животными, чтобы узнать предстоящую погоду. Если в этот день лес трещит — мороз будет стоять долго, если лес шумит, вскоре будут снег и оттепель. Если на Иринарха кошка мордочку прячет — быть морозу; собака лежит, свернувшись — к холоду, вытянувшись — к теплу."
26,Суббота,27,января,07:12,16:22,-9°,-12°,5.2°, 2002,-23.3°, 1954 ,"  Облачная погода продержалась в Харькове до самого вечера. Мелкий снег шел все время. Днем он усилился, а к вечеру ослабел.  "," Народный прогноз погоды: 27 января отмечается память преподобных Исаии, Саввы, Моисея. В старину заметили, если в ночь на 27 января на небе много звёзд, то вскоре будет тепло и снежно; если же звёзд немного, то будет ненастье и вьюга. Белые облака в этот день обещали мороз. Если поутру ворона раскаркалась, то следует ждать метель. А если петухи спозаранку закричали в морозный день, то холод скоро отступит."
27,Воскресенье,28,января,07:11,16:24,-7°,-10°,4.4°," 1976, 2001",-26.4°, 1954 ,"  На протяжении всего дня погода в Харькове была пасмурной. Мелкий снег шел ночью и утром. Днем на какое-то время осадки прекратились, а вечером начались снова уже с большей силой.  "," Народный прогноз погоды: 28 января почитается память преподобного Павла Фивейского и Иоанна Кущника. В прежние времена была такая поговорка: «Пётр-Павел дня прибавил», что указывало на увеличение световой части дня. В старину, чтобы узнать погоду, наблюдали за небом. Если звёзды сильно блестят, то быть морозу, а если они тусклые, то будет тепло. Если с севера приходили тучи, то оттепели не ждали. Снежный буран днем на Павла предвещал крепкий мороз ночью."
28,Понедельник,29,января,07:10,16:25,+1°,-7°,5.9°, 1979,-29.8°, 1980 ,"  В Харькове на протяжении всего дня стояла облачная погода. На протяжении всего дня шел мелкий снег, который ближе к вечеру закончился.  "," Народный прогноз погоды: 29 января отмечается день поклонения честным цепям апостола Петра. В народе этот день называли Пётр-полукорм, поскольку до этого времени у крестьян выходила половина зимнего корма для скота. По этому поводу народ приметил: «Если в амбарах ржаного хлеба осталось больше половины, быть хорошему урожаю». Погоду в этот день предсказывал ветер: если он дул с северной стороны, ожидали сильного мороза."
29,Вторник,30,января,07:08,16:27,+2°,0°,5.0°, 2001,-29.8°, 1947 ,  В Харькове солнце в этот день редко показывалось из-за облаков. Утренний мелкий дождь днем усилился и продолжал идти до самого вечера.  ," Народный прогноз погоды: В этот день почитается память преподобного Антония Великого. В прежние времена этот день называли Антон Перезимний — именно 30 января считалось серединой зимы. В этот день часто случались оттепели, а следом за ними наступали сильные морозы. Отсюда и примета, что зимнему теплу верить нельзя: «Перезимник обнадежит, обтеплит, а потом обманет — все морозом стянет». Если на Антония небо заволакивалось тучами, ожидали метели."
30,Среда,31,января,07:07,16:29,0°,-3°,5.3°, 1955,-30.9°, 1954 ,"  В Харькове облачная погода продержалась весь день. Дождь со снегом начался еще до рассвета, но к середине дня прекратился.  "," Народный прогноз погоды: 31 января почитается память святителей Афанасия и Кирилла. Этот день называли «Афанасий-ломонос», поскольку стояли лютые Афанасьевские морозы: «Ломонос морозит нос», «Пришел Афанасий Ломонос — береги щеки и нос». Если в этот день был пурпурный закат, то к утру ожидали большого снегопада, мороза и ветра. Погоду предсказывали и вороны: если они летали стаями, надо было готовится к сильным морозам."
31,Четверг,01,февраля,07:05,16:31,0°,-7°,2.3°, 1965,-28.8°, 1956 ,  На протяжении всего дня небо в Харькове было покрыто облаками. Без осадков.  ," Народный прогноз погоды: 1 февраля отмечается день памяти преподобного Макария Великого. Если на Макария погода стояла ясная или случалась капель, то ожидали раннюю весну: «Коли капель — в весну раннюю верь». А вот если вечером на небе было много звезд, то зима еще долго обещала продержаться. Если на Макария кружила метель, то верили, что еще долго будет метельная погода. Этот день называли еще Громницей, так как это единственный день зимой, когда может приключиться гроза."
32,Пятница,02,февраля,07:04,16:32,+2°,-6°,3.7°, 1980,-29.5°, 1954 ,"  В Харькове солнце в этот день редко показывалось из-за облаков. Утром начался дождь со снегом, который закончился еще в первой половине дня. В остальное время осадков не наблюдалось.  "," Народный прогноз погоды: 2 февраля почитается память преподобного Евфимия Великого. В народе этот день называли «Ефимкины метели». По метелям наши предки предсказывали погоду на ближайшее будущее. Если 2 февраля метет метель, то вся Масленая неделя будет метельной. Если этот день выдавался пасмурным, то стоило ждать поздних метелей. А если на Ефимия в полдень было солнце, то весну ожидали раннюю."
33,Суббота,03,февраля,07:02,16:34,+3°,-1°,5.0°, 2002,-29.7°, 1967 ,"  В Харькове солнце в этот день редко показывалось из-за облаков. Утром пошел мелкий дождь, но еще в первой половине дня он закончился.  "," Народный прогноз погоды: В этот день почитается память преподобного Максима Исповедника и Максима Грека. В старину была такая поговорка: «Если месяц заскользил, в тучу белый рог вонзил — будет доброе жито да мука в сито» - молодой месяц в облаках указывал на хороший урожай. А вот ясное небо предвещало недород. Ярко-красный закат 3 февраля указывал на морозный ясный завтрашний день; а ясная погода — на раннюю весну. Если днем солнце светит ярко, то летом на фруктовых деревьях плоды червивы будут, а если оно за облака прячется, плоды будут чисты и здоровы."
