,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory,city
0,Воскресенье,1,января,08:29,16:57,-3°,-7°,11.5°, 1971,-26.8°, 1940 ,  Облачная погода продержалась в Днепре до самого вечера. Без осадков.  ," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным.",dnepr
1,Понедельник,2,января,08:29,16:58,+1°,-2°,9.6°, 1953,-22.4°, 1940 ,  С утра и до самого вечера небо в Днепре было скрыто за облаками. Без осадков.  ," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был.",dnepr
2,Вторник,3,января,08:29,16:59,+1°,-5°,10.5°, 1902,-24.7°, 1908 ,"  Несмотря на то, что в Днепре на протяжении дня погода была пасмурной, вечером все же произошло прояснение. Без осадков.  "," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным.",dnepr
3,Среда,4,января,08:29,17:01,+1°,-8°,11.5°, 1902,-27.8°, 1894 ,"  Ясным небо в Днепре было недолго, потом его затянули облака, которые продержались до вечера. Без осадков.  "," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада.",dnepr
4,Четверг,5,января,08:29,17:02,+1°,-5°,8.0°, 1952,-29.6°," 1894, 1935 ",  С утра и до самого вечера небо в Днепре было скрыто за облаками. Без осадков.  ," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января).",dnepr
5,Пятница,6,января,08:28,17:03,-3°,-7°,8.0°, 1902,-32.1°, 1935 ,"  С утра и до самого вечера небо в Днепре было скрыто за облаками. Начиная с середины дня шел сильный дождь со снегом, который к вечеру стал слабее.  "," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь.",dnepr
6,Суббота,7,января,08:28,17:04,-4°,-9°,8.0°, 1975,-31.1°, 1935 ,"  На протяжении всего дня погода в Днепре была пасмурной. Утром был сильный дождь, днем - дождь со снегом, который к вечеру пошел еще сильнее.  "," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха.",dnepr
7,Воскресенье,8,января,08:28,17:05,0°,-11°,8.0°, 2001,-30.9°, 1940 ,"  В Днепре облачная погода продержалась весь день. На смену ночному мокрому снегу утром пришел снег. К середине дня он закончился, а вечером начался снова.  "," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели.",dnepr
8,Понедельник,9,января,08:27,17:06,0°,-8°,10.6°, 1948,-33.2°, 1940 ,  В Днепре солнце в этот день редко показывалось из-за облаков. На протяжении всего дня шел снег.  ," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть.",dnepr
9,Вторник,10,января,08:27,17:08,0°,-3°,9.5°, 1948,-34.1°, 1940 ,"  Облачная погода продержалась в Днепре до самого вечера. Ночью шел мелкий снег, который усилился утром, но к середине дня прекратился.  "," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым.",dnepr
