,year,count
0,1890,0
1,1891,0
2,1892,0
3,1893,1
4,1894,0
5,1895,1
6,1896,0
7,1897,0
8,1898,0
9,1899,0
10,1900,1
11,1901,0
12,1902,0
13,1903,0
14,1904,0
15,1905,0
16,1906,0
17,1907,1
18,1908,1
19,1909,0
20,1910,0
21,1911,0
22,1912,0
23,1913,0
24,1914,0
25,1915,0
26,1916,2
27,1917,0
28,1918,1
29,1919,0
30,1920,0
31,1921,0
32,1922,0
33,1923,0
34,1924,0
35,1925,0
36,1926,0
37,1927,0
38,1928,0
39,1929,1
40,1930,0
41,1931,0
42,1932,0
43,1933,0
44,1934,0
45,1935,0
46,1936,0
47,1937,0
48,1938,0
49,1939,0
50,1940,1
51,1941,0
52,1942,0
53,1943,0
54,1944,0
55,1945,15
56,1946,12
57,1947,19
58,1948,16
59,1949,11
60,1950,19
61,1951,0
62,1952,4
63,1953,9
64,1954,15
65,1955,5
66,1956,13
67,1957,7
68,1958,12
69,1959,16
70,1960,2
71,1961,1
72,1962,3
73,1963,16
74,1964,6
75,1965,12
76,1966,4
77,1967,5
78,1968,11
79,1969,15
80,1970,1
81,1971,0
82,1972,4
83,1973,4
84,1974,4
85,1975,2
86,1976,15
87,1977,4
88,1978,1
89,1979,7
90,1980,6
91,1981,2
92,1982,4
93,1983,3
94,1984,3
95,1985,5
96,1986,3
97,1987,12
98,1988,1
99,1989,0
100,1990,0
101,1991,1
102,1992,2
103,1993,10
104,1994,0
105,1995,0
106,1996,0
107,1997,3
108,1998,2
109,1999,3
110,2000,0
111,2001,0
112,2002,0
113,2003,1
114,2004,0
115,2005,0
116,2006,3
117,2007,0
118,2008,0
119,2009,0
