,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory,city
0,Воскресенье,1,января,08:32,17:14,+1°,-7°,14.9°, 1971,-15.5°, 1950 ,  В Херсоне облачная погода продержалась весь день. Без осадков.  ," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным.",herson
1,Понедельник,2,января,08:32,17:15,+2°,-1°,11.7°, 1953,-15.9°, 1950 ,"  Несмотря на то, что в Херсоне на протяжении дня погода была пасмурной, вечером все же произошло прояснение. Ночью и утром шел мелкий дождь.  "," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был.",herson
2,Вторник,3,января,08:31,17:16,+2°,-3°,12.3°, 1953,-21.7°, 1947 ,"  День в Херсоне был облачным, но вечером погода прояснилась. Без осадков.  "," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным.",herson
3,Среда,4,января,08:31,17:17,+4°,-5°,12.1°, 1953,-25.7°, 1997 ,"  Начиная с самого утра и до позднего вечера, погода в Херсоне оставалась пасмурной. Без осадков.  "," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада.",herson
4,Четверг,5,января,08:31,17:18,+2°,-1°,10.8°, 1959,-19.5°, 1947 ,  Ясной погодой нас этот день не порадовал - в Херсоне тучи закрыли небо уже с самого утра и никуда не делись до позднего вечера. Без осадков.  ," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января).",herson
5,Пятница,6,января,08:31,17:19,-3°,-9°,11.3°, 1959,-20.4°, 1954 ,"  В Херсоне облачная погода продержалась весь день. Утром шел сильный дождь со снегом, днем - снег, который на протяжении оставшейся половины дня постепенно ослабел.  "," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь.",herson
6,Суббота,7,января,08:31,17:20,-10°,-12°,10.5°, 2001,-22.0°, 1954 ,"  На протяжении всего дня небо в Херсоне было покрыто облаками. Весь день шел мелкий снег, который к вечеру усилился.  "," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха.",herson
7,Воскресенье,8,января,08:30,17:22,-9°,-14°,12.9°, 1994,-23.4°, 1976 ,"  Несмотря на ясное утро, днем и вечером в Херсоне погода оставалась пасмурной. Ночной мелкий снег к утру затих. Днем он начался снова с большей силой. Вечером ему на смену пришел дождь со снегом.  "," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели.",herson
8,Понедельник,9,января,08:30,17:23,-6°,-9°,13.1°, 1994,-24.2°, 1947 ,"  В Херсоне облачная погода продержалась весь день. Ночью, утром и вечером был снег.  "," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть.",herson
9,Вторник,10,января,08:30,17:24,-8°,-13°,11.4°, 1948,-20.6°, 1950 ,"  До обеда в Херсоне продержалась пасмурная погода, а во второй половине дня небо прояснилось и осталось чистым. Ночью был снег, но уже к утру он закончился. Больше осадков не наблюдалось.  "," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым.",herson
