,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory,city
0,Воскресенье,1,января,08:12,16:39,-4°,-9°,12.6°, 1971,-27.7°, 1951 ,  На протяжении всего дня погода в Луганске была пасмурной. Без осадков.  ," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным.",lugansk
1,Понедельник,2,января,08:12,16:40,0°,-3°,11.2°, 1971,-21.9°, 1954 ,  На протяжении всего дня погода в Луганске была пасмурной. Без осадков.  ," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был.",lugansk
2,Вторник,3,января,08:12,16:42,+1°,-2°,7.6°, 1988,-27.6°, 1947 ,  В Луганске на протяжении всего дня стояла облачная погода. Без осадков.  ," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным.",lugansk
3,Среда,4,января,08:12,16:43,-2°,-6°,10.1°, 1988,-27.0°, 1947 ,"  Ясным небо в Луганске было недолго, потом его затянули облака, которые продержались до вечера. Без осадков.  "," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада.",lugansk
4,Четверг,5,января,08:12,16:44,+3°,-1°,8.7°, 1953,-22.4°, 1987 ,"  На протяжении всего дня погода в Луганске была пасмурной. Утром был сильный дождь, который после полудня ослабел, а ближе к вечеру ему на смену пришел мелкий дождь со снегом.  "," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января).",lugansk
5,Пятница,6,января,08:11,16:45,+1°,-1°,9.6°, 1981,-30.1°, 1987 ,"  На протяжении всего дня небо в Луганске было покрыто облаками. Днем шел сильный дождь со снегом, вечером - сильный дождь.  "," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь.",lugansk
6,Суббота,7,января,08:11,16:46,+2°,-1°,9.2°, 1982,-22.8°, 1979 ,  На протяжении всего дня небо в Луганске было покрыто облаками. Без осадков.  ," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха.",lugansk
7,Воскресенье,8,января,08:11,16:47,+1°,-1°,8.5°, 2001,-41.9°, 1935 ,"  С утра и до самого вечера небо в Луганске было скрыто за облаками. Утренний снег во второй половине дня ослабел, но к вечеру вновь набрал силу.  "," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели.",lugansk
8,Понедельник,9,января,08:10,16:49,-1°,-3°,12.8°, 1948,-29.4°, 1950 ,"  На протяжении всего дня погода в Луганске была пасмурной. Ночью прошел мелкий снег, но уже к утру он закончился. Вся остальная часть дня прошла без осадков.  "," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть.",lugansk
9,Вторник,10,января,08:10,16:50,-2°,-4°,12.1°, 1948,-26.2°, 1950 ,  В Луганске на протяжении всего дня стояла облачная погода. Без осадков.  ," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым.",lugansk
