,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory,city
0,Воскресенье,1,января,08:36,16:54,-1°,-5°,9.6°, 1971,-25.7°, 1970 ,"  Облачная погода продержалась в Полтаве до самого вечера. Утро и день прошли без осадков, только ближе к вечеру начался сильный дождь со снегом.  "," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным.",poltava
1,Понедельник,2,января,08:36,16:55,+2°,-2°,6.1°, 1965,-25.4°, 1963 ,"  В Полтаве утренние облака быстро исчезли, и начиная с середины дня погода оставалась ясной. Ночью был мелкий дождь, но уже к утру он закончился. Больше осадков не наблюдалось.  "," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был.",poltava
2,Вторник,3,января,08:36,16:56,+1°,-3°,6.2°, 1965,-26.7°, 1947 ,  В Полтаве солнце в этот день редко показывалось из-за облаков. Утром пошел сильный дождь со снегом и закончился в середине дня. Больше осадков не наблюдалось.  ," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным.",poltava
3,Среда,4,января,08:35,16:58,0°,-6°,7.4°, 1961,-28.3°, 1947 ,"  Ясной погодой нас этот день не порадовал - в Полтаве тучи закрыли небо уже с самого утра и никуда не делись до позднего вечера. Утро и день прошли без осадков, только ближе к вечеру начался снег.  "," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада.",poltava
4,Четверг,5,января,08:35,16:59,+1°,-4°,5.7°, 1952,-26.7°, 1947 ,  На протяжении всего дня небо в Полтаве было покрыто облаками. Ночью и утром шел снег.  ," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января).",poltava
5,Пятница,6,января,08:35,17:00,-4°,-10°,6.3°, 1975,-25.6°, 1987 ,"  На протяжении всего дня погода в Полтаве была пасмурной. Днем начался сильный дождь со снегом, которому вечером на смену пришел мелкий снег.  "," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь.",poltava
6,Суббота,7,января,08:34,17:01,-9°,-13°,7.6°, 2001,-26.4°, 1979 ,"  На протяжении всего дня погода в Полтаве была пасмурной. Утром и днем был снег, ближе к вечеру ему на смену пришел сильный дождь со снегом.  "," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха.",poltava
7,Воскресенье,8,января,08:34,17:02,-6°,-11°,6.7°, 2001,-23.4°, 1987 ,"  Облачная погода продержалась в Полтаве до самого вечера. Утром продолжился ночной сильный дождь со снегом, но ближе к полудню он закончился.  "," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели.",poltava
8,Понедельник,9,января,08:34,17:04,-4°,-8°,9.0°, 2001,-26.2°, 1950 ,"  В Полтаве на протяжении всего дня стояла облачная погода. Утром был сильный дождь со снегом, который после полудня ослабел, а ближе к вечеру ему на смену пришел снег.  "," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть.",poltava
9,Вторник,10,января,08:33,17:05,-4°,-5°,9.1°, 2001,-25.6°, 1950 ,"  В Полтаве облачная погода продержалась весь день. Ночью и утром шел снег, после полудня начался дождь со снегом. Вечером осадки прекратились.  "," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым.",poltava
