,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory
0,Воскресенье,01,января,08:41,16:47,0°,-5°,7.2°, 1971,-29.0°, 1970 ,  С утра и до самого вечера небо в Сумах было скрыто за облаками. Днем прошел мелкий дождь. Вечером осадков не наблюдалось.  ," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным."
1,Понедельник,02,января,08:41,16:48,+1°,-1°,5.4°, 1971,-25.4°, 1963 ,"  С утра и до самого вечера небо в Сумах было скрыто за облаками. Ночью начался мелкий дождь, но ближе к утру он закончился. Больше в этот день осадков не было.  "," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был."
2,Вторник,03,января,08:40,16:50,0°,-3°,5.4°, 1965,-26.0°, 1947 ,"  На протяжении всего дня небо в Сумах было покрыто облаками. Утром и днем шел снег, который закончился ближе к вечеру.  "," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным."
3,Среда,04,января,08:40,16:51,-1°,-6°,4.3°, 1965,-28.0°, 1947 ,"  Весь день в Сумах было облачно. Днем пошел снег, который к вечеру ослабел.  "," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада."
4,Четверг,05,января,08:40,16:52,-1°,-4°,4.1°, 1965,-28.0°, 1987 ,"  В Сумах погода была пасмурной, небо лишь на непродолжительное время избавилось от облаков, но вечером его снова затянуло. Ночью и утром был мелкий снег, вечером он пошел снова, но уже сильнее.  "," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января)."
5,Пятница,06,января,08:40,16:53,-8°,-13°,5.1°, 1975,-30.4°, 1987 ,"  В Сумах на протяжении всего дня стояла облачная погода. Утро и день прошли без осадков, только ближе к вечеру начался снег.  "," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь."
6,Суббота,07,января,08:39,16:54,-14°,-16°,6.1°, 2001,-30.0°, 1979 ,"  На протяжении всего дня погода в Сумах была пасмурной. Снег шел весь день, правда к вечеру он стал ослабевать.  "," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха."
7,Воскресенье,08,января,08:39,16:56,-10°,-15°,6.3°, 2001,-29.4°, 1979 ,  На протяжении всего дня небо в Сумах было покрыто облаками. Мелкий снег шел ночью и утром. Днем он усилился и закончился лишь к вечеру.  ," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели."
8,Понедельник,09,января,08:38,16:57,-6°,-10°,7.6°, 2001,-34.2°, 1987 ,  С утра и до самого вечера небо в Сумах было скрыто за облаками. Без осадков.  ," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть."
9,Вторник,10,января,08:38,16:58,-5°,-6°,7.5°, 2001,-26.9°, 1950 ,  В Сумах на протяжении всего дня стояла облачная погода. Без осадков.  ," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым."
