year,year,count
1890,1890,0
1891,1891,0
1892,1892,0
1893,1893,1
1894,1894,0
1895,1895,1
1896,1896,0
1897,1897,0
1898,1898,0
1899,1899,0
1900,1900,1
1901,1901,0
1902,1902,0
1903,1903,0
1904,1904,0
1905,1905,0
1906,1906,0
1907,1907,1
1908,1908,1
1909,1909,0
1910,1910,0
1911,1911,0
1912,1912,0
1913,1913,0
1914,1914,0
1915,1915,0
1916,1916,2
1917,1917,0
1918,1918,1
1919,1919,0
1920,1920,0
1921,1921,0
1922,1922,0
1923,1923,0
1924,1924,0
1925,1925,0
1926,1926,0
1927,1927,0
1928,1928,0
1929,1929,1
1930,1930,0
1931,1931,0
1932,1932,0
1933,1933,0
1934,1934,0
1935,1935,0
1936,1936,0
1937,1937,0
1938,1938,0
1939,1939,0
1940,1940,1
1941,1941,0
1942,1942,0
1943,1943,0
1944,1944,0
1945,1945,15
1946,1946,12
1947,1947,19
1948,1948,16
1949,1949,11
1950,1950,19
1951,1951,0
1952,1952,4
1953,1953,9
1954,1954,15
1955,1955,5
1956,1956,13
1957,1957,7
1958,1958,12
1959,1959,16
1960,1960,2
1961,1961,1
1962,1962,3
1963,1963,16
1964,1964,6
1965,1965,12
1966,1966,4
1967,1967,5
1968,1968,11
1969,1969,15
1970,1970,1
1971,1971,0
1972,1972,4
1973,1973,4
1974,1974,4
1975,1975,2
1976,1976,15
1977,1977,4
1978,1978,1
1979,1979,7
1980,1980,6
1981,1981,2
1982,1982,4
1983,1983,3
1984,1984,3
1985,1985,5
1986,1986,3
1987,1987,12
1988,1988,1
1989,1989,0
1990,1990,0
1991,1991,1
1992,1992,2
1993,1993,10
1994,1994,0
1995,1995,0
1996,1996,0
1997,1997,3
1998,1998,2
1999,1999,3
2000,2000,0
2001,2001,0
2002,2002,0
2003,2003,1
2004,2004,0
2005,2005,0
2006,2006,3
2007,2007,0
2008,2008,0
2009,2009,0
