,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory,city
0,Воскресенье,1,января,08:59,17:20,+1°,-2°,5.7°," 1988, 2007",-26.0°, 1970 ,  В Виннице облачная погода продержалась весь день. Без осадков.  ," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным.",vinitsa
1,Понедельник,2,января,08:59,17:21,+2°,-4°,8.7°, 1984,-23.9°, 1963 ,"  К вечеру в Виннице небо, остававшееся ясным почти все время, затянулось облаками. Без осадков.  "," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был.",vinitsa
2,Вторник,3,января,08:58,17:22,-1°,-4°,9.3°, 1953,-23.9°, 1963 ,  С утра и до самого вечера небо в Виннице было скрыто за облаками. Утром был снег. День и вечер прошли без осадков.  ," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным.",vinitsa
3,Среда,4,января,08:58,17:23,+1°,-3°,11.6°, 1984,-25.5°, 1947 ,"  Весь день в Виннице было облачно. Днем прошел дождь со снегом, но до наступления вечера он закончился.  "," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада.",vinitsa
4,Четверг,5,января,08:58,17:25,0°,-9°,8.0°, 1959,-25.0°, 1947 ,"  В Виннице ясная погода продержалась совсем немного в утреннее время, днем небо укрыли облака и не покинули его до позднего вечера. Днем шел дождь со снегом, который к вечеру закончился.  "," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января).",vinitsa
5,Пятница,6,января,08:58,17:26,-11°,-17°,8.4°, 1988,-22.0°, 1947 ,"  С утра и до самого вечера небо в Виннице было скрыто за облаками. Ночной дождь со снегом к утру сменился на снег. Днем на какое-то время он прекратился, а вечером пошел снова, правда слабее.  "," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь.",vinitsa
6,Суббота,7,января,08:57,17:27,-16°,-19°,7.2°, 1975,-21.0°, 1947 ,"  С утра и до самого вечера небо в Виннице было скрыто за облаками. Утром шел снег, после полудня - сильный дождь со снегом, ближе к вечеру - мелкий снег.  "," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха.",vinitsa
7,Воскресенье,8,января,08:57,17:28,-13°,-15°,8.1°, 2001,-27.8°, 1987 ,"  С утра и до самого вечера небо в Виннице было скрыто за облаками. Мелкий снег, который днем пришел на смену сильному мокрому снегу, продолжал идти до позднего вечера.  "," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели.",vinitsa
8,Понедельник,9,января,08:56,17:29,-9°,-15°,8.6°, 2005,-33.5°, 1987 ,"  В Виннице на протяжении всего дня стояла облачная погода. Мелкий снег начался с самого утра, но ближе к вечеру он прекратился.  "," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть.",vinitsa
9,Вторник,10,января,08:56,17:31,-8°,-10°,6.9°," 2005, 2007",-24.5°, 1950 ,"  С утра и до самого вечера небо в Виннице было скрыто за облаками. Ночью был мелкий снег, которому утром на смену пришел дождь со снегом. Во второй половине дня осадков не наблюдалось.  "," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым.",vinitsa
10,Среда,11,января,08:55,17:32,-4°,-8°,11.0°, 1991,-32.4°, 1950 ,  Весь день в Виннице было облачно. С середины дня и до его окончания шел снег.  ," Народный прогноз погоды: 1 ноября отмечается день памяти святого Садока, епископа Персидского. Издавна первый день ноября считался проводами осени, встречей зимы и отмечался повсюду. Если в этот день будет холодно и пойдет снег, то весна будет поздняя и холодная, а если сегодня случится оттепель — в следующем году весна будет теплой и ранней.",vinitsa
11,Четверг,12,января,08:55,17:33,-2°,-6°,9.6°, 1991,-31.8°, 1950 ,"  В Виннице солнце в этот день редко показывалось из-за облаков. Утром был мелкий снег, днем он усилился, а ближе к вечеру ему на смену пришел дождь со снегом.  "," Народный прогноз погоды: 12 января почитается память святой Анисии. В народе этот день назывался «Анисьи зимние» или «Анисьи Желудочницы». В старину в этот день варили свиные желудки и резали гусей. По внутренностям животных гадали о зиме. Если селезенка была ровной и гладкой, то ожидали зимы суровой. Толстая печень в середине означала, что стужи начнутся с половины зимы, а широкая сторона печени к брюху обещала морозы и перезимья. В народе говорили: «Ко дню Анисьи холода над землей повисли».",vinitsa
12,Пятница,13,января,08:54,17:35,-1°,-7°,7.0°," 1998, 2007",-28.3°, 1950 ,  В Виннице облачная погода продержалась весь день. Без осадков.  ," Народный прогноз погоды: 13 января отмечается день памяти преподобной Мелании Римляныни. В народе называют этот день «Щедрый вечер». Погода каждого последующего дня соответствовала погоде каждого из двенадцати месяцев. Если в ночь ветер дул южный, то год ожидали жаркий и урожайный. Западный ветер предвещал хорошие надои и обилие рыбы, а восточный — обильный урожай фруктов. Если замечали на окнах лёд, то рассчитывали на обилие мёда. С этого времени день прибывает на час.",vinitsa
13,Суббота,14,января,08:54,17:36,+3°,-1°,8.0°, 1948,-31.9°, 1972 ,  В Виннице облачная погода продержалась весь день. Без осадков.  ," Народный прогноз погоды: 14 января почитается память святителя Василия Великого, архиепископа Кесарии Каппадокийской. Если на Василия с утра туман, то будет хороший урожай летом и осенью. Если будет много звезд на небе — будет много ягод летом. В прежние времена говорили: «Коли Васильев день в году веселый, то и год таков», «Старый год — к весне поворот». Если на Василия тепло и снег — лето будет теплым и дождливым.",vinitsa
14,Воскресенье,15,января,08:53,17:38,0°,-5°,6.0°," 1993, 2007",-30.2°, 1972 ,"  В Виннице день с самого утра был ясным, но вечером небо покрылось облаками. Без осадков.  "," Народный прогноз погоды: 15 января почитается память святителя Сильвестра Римского, преподобных Сильвестра Печерского и Серафима Саровского. В прежние времена в этот день был Куриный праздник. 15 января чистили курятники и окуривали их смолою с девясилом. Синие вечерние облака в этот день предвещали перемену погоды. Наблюдали также за месяцем: если его рога остры и ярки, следует ожидать ветра. В народе говорили: «Январь гонит вьюгу за семь верст» — этот месяц хоть и холодный, но относительно спокойный.",vinitsa
15,Понедельник,16,января,08:52,17:39,-1°,-6°,6.0°, 1989,-27.4°, 1972 ,"  В Виннице облачная погода продержалась весь день. Утром пошел снег, который закончился еще до середины дня. Больше осадков не было.  "," Народный прогноз погоды: В этот день почитается память святого пророка Малахии. По народному поверью, только в этот день можно образумить одержимого меланхолией человека. И если сейчас меланхоличность считается чертой характера, то в прежние времена это считалось душевной болезнью. Если в этот день на небе появлялось белое большое облако, это предвещало вьюгу и метель. Погода на Малахию указывает, какой будет погода в марте.",vinitsa
16,Вторник,17,января,08:51,17:41,-4°,-12°,8.7°, 1993,-26.8°, 1972 ,  В Виннице на протяжении всего дня стояла облачная погода. Без осадков.  ," Народный прогноз погоды: 17 января почитается память преподобного Феоктиста, Зосимы Пустынника, который жил в IV веке. В народе Зосима считается покровителем пчел. О пчелах толкует и примета этого дня: если в этот день «снег на деревьях сучья гнет — летом пчелы роиться будут». А если на небе нет облаков при сильном морозе, то морозная погода будет стоять и дальше и не скоро отступит.",vinitsa
17,Среда,18,января,08:50,17:42,-8°,-12°,8.5°," 1993, 2007",-25.2°, 1980 ,  Облачная погода продержалась в Виннице до самого вечера. Без осадков.  ," Народный прогноз погоды: 18 января отмечается Крещенский сочельник, канун Богоявления. В этот день соблюдается строгий пост, поэтому канун Богоявления называют еще Голодной кутёй. Если в этот день метель, снег и позёмка — быть хорошему урожаю. Если звездная ночь на Крещение — будет урожай ягод, гороха и хлеба. Сильные южные ветры 18 января предвещают грозное лето, а метель на Крещение приносит метель и на Масленицу. Полный месяц в этот день обещает большой разлив рек весной.",vinitsa
18,Четверг,19,января,08:49,17:44,-6°,-14°,4.8°," 1993, 2007",-26.1°, 1963 ,  В Виннице солнце в этот день редко показывалось из-за облаков. Без осадков.  ," Народный прогноз погоды: 19 января отмечается праздник Крещения Господня или Богоявления. По погоде этого дня во многом судили о погоде на лето. Если в этот день холодная, ясная погода — лето засушливым будет. Пасмурная и снежная погода указывала на обильный урожай. В старину говорили: «День тёплый — хлеб тёмный (густой)», значит следовало ожидать хорошего урожая хлебов. Также на хороший урожай указывали синие облака и снег хлопьями.",vinitsa
19,Пятница,20,января,08:48,17:45,-3°,-12°,6.4°, 1952,-24.7°, 1963 ,  В Виннице на протяжении всего дня стояла облачная погода. Днем шел снег. К вечеру он ослабел.  ," Народный прогноз погоды: 20 января отмечается Собор Предтечи и Крестителя Господня Иоанна. Этот день является концом святок: «Иван Креститель праздники увел». Если в этот день стояла ясная и холодная погода, то лето ожидалось засушливое, а пасмурная и снежная погода намекала на обильный урожай. К 20-му января заканчивались Крещенские морозы, и хотя впереди еще была почти половина зимы, люди уже жили в ожидании тепла: «Трещи, мороз не трещи — минули Водохрещи: дуй, вьюга, не дуй — к Великодню пошло».",vinitsa
20,Суббота,21,января,08:47,17:47,0°,-3°,4.8°," 1993, 2007, 2008",-23.7°," 1963, 2006 ","  В Виннице облачная погода продержалась весь день. Утренний мелкий дождь днем усилился, а ближе к вечеру на смену ему пришел мелкий снег.  "," Народный прогноз погоды: 21 января почитается память Емилиана, исповедника. Раньше метели и бураны в этот день были обычным явлением, о чём говорит и пословица: «Емельян, накрути буран». Следили в этот день в основном за ветром: если на Емельяна подует с юга — лето будет грозным, а если день выдастся ясным, то следует ожидать засушливого лета.",vinitsa
