,dayHistory,dayInfo,infoDate,infoDayweek,infoMonth,maxTemp,maxYear,minTemp,minYear,sunDown,sunUp,tempMax,tempMin
0," Народный прогноз погоды: В этот день почитается память святого Бонифатия. Народная примета гласит: «Каков первый день января, таков и первый день лета». Принято было считать, если первый день в году веселый (счастливый), то и год будет таким же (и наоборот). На погоду в этот день указывали птицы: если синички с утра пищат — к морозу, если воробьи нахохлились, следует ожидать непогоды. Также в старину заметили, если утром густой иней на деревьях, то год будет урожайным.","  Облачная погода продержалась в Запорожье до самого вечера. Днем начался снег, который вечером перешел в мелкий дождь.  ",01,Воскресенье,января,10.8°, 1971,-22.8°, 1969 ,16:59,08:26,-2°,-6°
1," Народный прогноз погоды: 2 января почитается память святого Игнатия Богоносца. Погода этого дня предсказывает погоду августа. Наши предки подметили: насколько сильный мороз в этот день, настолько жарко будет летом. А если есть иней на деревьях, то погода в ближайшие дни будет ясной. В старину был обычай на Игнатия вокруг дома обносить иконы, защищая таким образом дом от зла. В этот день садоводы трясут плодовые деревья, чтобы хороший урожай был.","  Весь день в Запорожье было облачно. Мелкий дождь начался еще до рассвета, но к середине дня прекратился.  ",02,Понедельник,января,10.3°, 1971,-18.3°, 1963 ,17:00,08:26,0°,-2°
2," Народный прогноз погоды: По астрономическому календарю 3 января Земля находится в перигелии — она отстоит на наименьшем расстоянии от Солнца. Наши предки приметили, каков день 3 января, таким будет и сентябрь. Красное солнце на утренней зорьке предвещает метель. Если в этот день много снега, то можно ожидать хорошего урожая хлеба, а если снег не укроет землю к этому дню, то урожай в грядущем году будет скудным.","  В Запорожье до самого вечера держалась пасмурная погода, и лишь под конец дня небо очистилось от облаков. Без осадков.  ",03,Вторник,января,8.6°, 1953,-23.6°, 1947 ,17:01,08:26,+1°,-3°
3," Народный прогноз погоды: 4 января отмечается день Анастасии Узорешительницы. К этой святой обращались в молитвах для легкого течения беременности и родов. В этот день, с молитвами к святой, женщины вышивали полотенце, которое должно было помочь благополучно разрешиться от бремени. В народе приметили, каким день будет на Анастасию, таким будет и октябрь. Наши предки в этот день следили за облаками, если они шли против ветра, то ожидали снегопада.",  Облачный день и пасмурный вечер пришли в Запорожье на смену ясному утру. Без осадков.  ,04,Среда,января,9.4°, 1965,-24.7°, 1947 ,17:02,08:26,+1°,-6°
4," Народный прогноз погоды: 5 января почитается память святых Феодула, Саторнина и других. С этого дня уже начиналась активная подготовка к Рождественским праздникам: принято было убрать дом и готовить кутью. Наши предки по погоде этого дня предсказывали погоду ноября. Для этого дня характерна ветреная погода, поэтому в старину говорили: «Пришёл Федул, ветер подул» — это предвещало хороший урожай. Благоприятным признаком для урожая считаются ясные дни во время всего Рождественского поста (28 ноября — 6 января).","  В Запорожье облачная погода продержалась весь день. Ночью прошел дождь, но уже к утру он закончился. Вся остальная часть дня прошла без осадков.  ",05,Четверг,января,9.0°, 1952,-20.4°, 1947 ,17:03,08:26,+1°,-3°
5," Народный прогноз погоды: 6 января все православные народы празднуют Рождественский сочельник. С этого дня наступают Рождественские морозы. Глубоко промёрзшая земля предвещает плодородие. По погоде этого дня предсказывают погоду декабря. Если в этот день тепло — весна будет холодной; метель — к урожаю пшеницы. В народе говорили: «Коли на Кутью небо звездисто — богатый приплод скота и много ягод будет». Если на сочельник случился снегопад, жди процветания хозяйства в новом году, а если мороз — в семье будет совет да любовь.","  На протяжении всего дня небо в Запорожье было покрыто облаками. С самого утра шел сильный дождь со снегом, под вечер его сменил дождь.  ",06,Пятница,января,9.2°, 1982,-20.0°, 1987 ,17:04,08:25,0°,-5°
6," Народный прогноз погоды: 7 января отмечается Рождество — один из главных христианских праздников. С прежних времен это день примирения, доброты, миролюбия, прославления Христа. Наши предки приметили, если в этот день тепло — весна будет холодная. Если же в день Рождества холодно и вьюга, будет холодно и летом. Густой иней и снег в этот день предвещали летом изобилие хлеба и малины. Несмотря на торжество этого праздника, светлый, ясный день указывал на неурожай. А много звезд на небе — на урожай грибов, ягод и гороха.","  Весь день в Запорожье было облачно. Начиная с середины дня шел мелкий дождь, который к вечеру стал сильнее.  ",07,Суббота,января,8.6°, 2001,-24.2°, 1954 ,17:06,08:25,0°,-7°
7," Народный прогноз погоды: 8 января отмечается Собор Пресвятой Богородицы. В народе этот день назывался Бабьи каши. По каше и погоду предсказывали на ближайшее время: если каша в печи румянится — к снегу. Если до этого времени земля еще хорошо не промерзла, то летом соку не даст, то есть урожай будет не очень хорошим. Наблюдали в этот день за солнцем и за птицами: если около солнца появлялась светлая полоса, это предвещало снег. Если синица с утра пищит — быть морозу ночью, а если галки и вороны устроили непрекращающийся гвалт — быть снегопаду или метели.","  В Запорожье на протяжении всего дня стояла облачная погода. Ночью прошел снег, который к утру прекратился. Вечером он начался снова.  ",08,Воскресенье,января,10.1°, 1948,-21.2°, 1976 ,17:07,08:25,+1°,-10°
8," Народный прогноз погоды: 9 января почитается память святого апостола Стефана, который проповедовал, подкрепляя истинность своих слов знамениями и чудесами. Обычно этот день бывал морозным: «Пришел Стефан — на нем красный жупан». Наши предки заметили, что если в этот день снег валится с неба большими хлопьями, то в ближайшем будущем нужно от погоды ожидать ненастье и слякоть.",  На протяжении всего дня небо в Запорожье было покрыто облаками. С утра и до позднего вечера шел сильный дождь со снегом.  ,09,Понедельник,января,13.1°, 1948,-24.4°, 1950 ,17:08,08:24,0°,-7°
9," Народный прогноз погоды: В этот день почитается память святых из Никомидии. Наши предки заметили, что погода в этот день указывает на погоду в июле будущего года. Если 10 января случатся снегопады и метели, то в июле будут частые дожди. Если в этот день скирды хлеба были покрыты инеем, это тоже был верный знак того, что будущее лето будет дождливым.","  В Запорожье солнце в этот день редко показывалось из-за облаков. Ночью был сильный дождь со снегом, которому утром на смену пришел снег. Во второй половине дня осадков не наблюдалось.  ",10,Вторник,января,11.6°, 1948,-22.3°, 1950 ,17:09,08:24,0°,-4°
